hzname,desgndisc,desgnmaster,desgnmasterprime,desgnvert,hzdept.l,hzdept.r,hzdept.h,hzdepb.l,hzdepb.r,hzdepb.h,hzthk.l,hzthk.r,hzthk.h,fraggt10.l,fraggt10.r,fraggt10.h,frag3to10.l,frag3to10.r,frag3to10.h,sieveno4.l,sieveno4.r,sieveno4.h,sieveno10.l,sieveno10.r,sieveno10.h,sieveno40.l,sieveno40.r,sieveno40.h,sieveno200.l,sieveno200.r,sieveno200.h,sandtotal.l,sandtotal.r,sandtotal.h,sandvc.l,sandvc.r,sandvc.h,sandco.l,sandco.r,sandco.h,sandmed.l,sandmed.r,sandmed.h,sandfine.l,sandfine.r,sandfine.h,sandvf.l,sandvf.r,sandvf.h,silttotal.l,silttotal.r,silttotal.h,siltco.l,siltco.r,siltco.h,siltfine.l,siltfine.r,siltfine.h,claytotal.l,claytotal.r,claytotal.h,claysizedcarb.l,claysizedcarb.r,claysizedcarb.h,om.l,om.r,om.h,dbtenthbar.l,dbtenthbar.r,dbtenthbar.h,dbthirdbar.l,dbthirdbar.r,dbthirdbar.h,dbfifteenbar.l,dbfifteenbar.r,dbfifteenbar.h,dbovendry.l,dbovendry.r,dbovendry.h,partdensity,ksat.l,ksat.r,ksat.h,awc.l,awc.r,awc.h,wtenthbar.l,wtenthbar.r,wtenthbar.h,wthirdbar.l,wthirdbar.r,wthirdbar.h,wfifteenbar.l,wfifteenbar.r,wfifteenbar.h,wsatiated.l,wsatiated.r,wsatiated.h,lep.l,lep.r,lep.h,ll.l,ll.r,ll.h,pi.l,pi.r,pi.h,aashind.l,aashind.r,aashind.h,kwfact,kffact,caco3.l,caco3.r,caco3.h,gypsum.l,gypsum.r,gypsum.h,sar.l,sar.r,sar.h,ec.l,ec.r,ec.h,cec7.l,cec7.r,cec7.h,ecec.l,ecec.r,ecec.h,sumbases.l,sumbases.r,sumbases.h,ph1to1h2o.l,ph1to1h2o.r,ph1to1h2o.h,ph01mcacl2.l,ph01mcacl2.r,ph01mcacl2.h,freeiron.l,freeiron.r,freeiron.h,feoxalate.l,feoxalate.r,feoxalate.h,extracid.l,extracid.r,extracid.h,extral.l,extral.r,extral.h,aloxalate.l,aloxalate.r,aloxalate.h,pbray1.l,pbray1.r,pbray1.h,poxalate.l,poxalate.r,poxalate.h,ph2osoluble.l,ph2osoluble.r,ph2osoluble.h,ptotal.l,ptotal.r,ptotal.h,excavdifcl,excavdifms,cokey,chkey
C,NA,C,,NA,34,140,170,200,200,200,NA,60,NA,0,0,3,0,0,1,88,98,100,74,93,98,63,84,95,39,53,63,35,49,60,0,2,4,2,5,6,4,12,15,9,19,21,5,11,16,30,36,50,13,19,27,15,17,22,10,15,22,1,2,4,0,0.25,0.5,NA,NA,NA,1.5,1.5,1.55,NA,NA,NA,1.56,1.56,1.61,2.64,4.23,9.17,42.34,0.11,0.18,0.19,NA,NA,NA,17.5,24.2,28.6,4.9,9,13.7,32,39,41,0.6,1.2,2.3,19,25,33,4,8,14,0,1,6,0.37,0.37,12,15,20,0,0,0,0,0,0,0,0,2,6.9,10.7,14.7,NA,NA,NA,45.6,49.4,53.7,7.9,8,8.4,7.4,7.5,7.8,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607989,51439028
Ap,NA,A,,NA,0,0,0,18,20,25,NA,20,NA,0,0,3,0,0,1,87,98,100,71,92,98,60,82,90,36,52,58,44,51,60,2,3,4,3,5,6,7,11,12,14,19,20,8,13,15,26,31,35,14,15,16,10,16,19,13,18,21,1,2.5,3,1,2.5,3.5,NA,NA,NA,1.2,1.3,1.4,NA,NA,NA,1.27,1.37,1.47,2.6,1.41,9.17,42.34,0.12,0.18,0.22,NA,NA,NA,19.4,26.7,29.5,6.5,11.9,14.9,36,46,51,1,1.6,2.3,25,33,38,7,11,13,0,2,5,0.28,0.28,5,12,20,0,0,0,0,0,0,0,0,2,10.5,13.7,15.8,NA,NA,NA,43.8,52.4,54.8,7.4,7.7,8.4,7,7.5,8,NA,NA,NA,NA,NA,NA,0,0.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607989,51439029
Bk,NA,B,,NA,18,20,25,34,140,170,NA,120,NA,0,0,3,0,0,1,89,98,100,75,93,98,64,85,92,44,59,66,35,42,50,1,3,4,3,4,6,7,9,11,13,16,17,7,10,12,28,37,48,12,15,17,18,22,26,16,21,24,1,2,3,0,0.5,1.5,NA,NA,NA,1.4,1.55,1.65,NA,NA,NA,1.5,1.65,1.68,2.63,1.41,9.17,14.11,0.15,0.18,0.19,NA,NA,NA,20.9,27.6,30.7,8.1,13.2,16.8,29,37,44,1.2,2.1,2.7,25,31,37,9,12,16,0,5,9,0.37,0.37,15,20,25,0,0,0,0,0,0,0,0,2,10.9,15.4,17.6,NA,NA,NA,49.6,54.1,56.6,7.4,7.5,8.4,6.6,7.2,8,NA,NA,NA,NA,NA,NA,0,1.6,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607989,51439030
A,NA,A,,NA,13,20,25,25,38,61,NA,18,NA,0,1,3,0,1,1,87,98,100,70,92,98,64,87,98,50,67,78,26,31,40,0,1,3,1,3,5,3,6,10,8,13,18,6,8,11,35,43,45,13,20,21,18,23,24,23,26,32,0,0,0,2,4,6,NA,NA,NA,1.2,1.25,1.35,NA,NA,NA,1.34,1.39,1.45,2.55,1.41,9.17,14.11,0.15,0.21,0.22,NA,NA,NA,23.5,29.9,34,11.2,16.6,22.3,36,46,50,2.7,3.4,4.8,37,44,54,16,18,22,4,11,18,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,2,19.3,22.2,27.2,NA,NA,NA,15.3,20.4,27,5.6,6.2,7.3,5.1,5.8,6.6,NA,NA,NA,NA,NA,NA,2.8,6.8,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607990,51439031
Ap,NA,A,,NA,0,0,0,13,20,25,NA,20,NA,0,1,4,0,1,2,86,98,100,67,91,98,62,86,95,48,67,75,25,31,33,0,1,3,1,3,5,3,7,10,8,12,19,7,8,11,38,43,46,13,21,24,20,22,25,24,26,29,0,0,0,4,6,9,NA,NA,NA,1,1.1,1.3,NA,NA,NA,1.08,1.18,1.38,2.52,1.41,9.17,14.11,0.17,0.21,0.22,NA,NA,NA,23.7,29.8,33.5,11.7,16.5,21.3,36,50,56,1.7,2.3,3,42,48,57,16,17,19,4,11,16,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,2,20.6,22.5,25.3,NA,NA,NA,16.9,20.4,25.2,5.6,6.2,7.3,5.1,5.8,6.6,NA,NA,NA,NA,NA,NA,3.6,7.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607990,51439032
C,NA,C,,NA,40,74,112,200,200,200,NA,126,NA,0,0,3,0,0,1,89,98,100,75,93,98,64,84,95,39,53,63,35,49,60,0,2,4,2,5,6,4,12,15,9,19,21,5,11,16,30,36,50,13,19,27,15,17,22,10,15,22,1,2,4,0,0.25,0.5,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.56,1.66,1.72,2.64,4.23,9.17,42.34,0.11,0.18,0.22,NA,NA,NA,17.8,24.6,29.3,5.2,9.5,14.6,27,36,41,0.6,1.2,2.3,19,25,33,4,8,14,0,1,6,0.37,0.37,12,15,20,0,0,0,0,0,0,0,0,2,6.9,10.7,14.7,NA,NA,NA,45.6,49.4,53.7,7.9,8,8.4,7.4,7.5,7.8,NA,NA,NA,NA,NA,NA,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607990,51439033
Bg,NA,B,,NA,25,38,61,40,74,112,NA,36,NA,0,0,3,0,0,1,87,98,100,72,92,98,63,86,98,46,64,75,20,36,46,0,2,3,2,3,5,4,7,11,10,14,20,8,10,13,30,38,50,13,19,22,17,19,24,20,26,33,0,0,0,0.25,1.25,2,NA,NA,NA,1.3,1.35,1.6,NA,NA,NA,1.44,1.49,1.74,2.59,1.41,9.17,14.11,0.14,0.18,0.19,NA,NA,NA,21.8,28.9,32.7,9.1,14.9,20,30,44,47,2.1,3.3,4.9,31,38,47,13,17,23,2,9,17,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,2,15.7,21.2,26.8,NA,NA,NA,13.3,19.9,26.8,6.1,6.6,7.3,5.4,6,7,NA,NA,NA,NA,NA,NA,1.8,4.7,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607990,51439034
Bw,NA,B,,NA,12,35,51,45,84,146,NA,49,NA,0,0,3,0,0,1,88,98,100,73,93,98,63,84,91,41,56,62,36,45,55,0,2,4,2,5,6,4,11,15,9,18,21,5,9,16,26,34,42,13,18,23,13,16,23,18,21,24,0,0,0,0.5,0.75,2,NA,NA,NA,1.35,1.4,1.6,NA,NA,NA,1.46,1.51,1.71,2.61,1.41,9.17,14.11,0.12,0.18,0.18,NA,NA,NA,21.6,27,30.1,8.8,12.2,15.8,30,42,45,1.7,2.4,3.1,29,33,38,12,14,16,1,5,8,0.32,0.32,0,0,1,0,0,0,0,0,0,0,0,2,14.7,17.1,20.1,NA,NA,NA,12.5,16.4,59.1,6.1,6.6,7.3,5.4,6,7,NA,NA,NA,NA,NA,NA,1.7,4,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607991,51439035
Ap,NA,A,,NA,0,0,0,12,23,25,NA,23,NA,0,0,3,0,0,1,87,98,100,71,92,98,62,83,91,41,55,62,36,45,55,0,2,4,2,5,6,4,11,15,9,18,21,5,9,16,26,34,42,13,18,23,13,16,23,18,21,24,0,0,0,2,3.5,6,NA,NA,NA,1.2,1.3,1.4,NA,NA,NA,1.3,1.4,1.43,2.57,1.41,9.17,14.11,0.15,0.21,0.22,NA,NA,NA,22.2,28.6,32.3,9.6,14.5,19.3,35,45,50,1.7,2.5,3.2,32,39,47,12,14,16,1,5,10,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,2,15.5,18.2,21,NA,NA,NA,12.4,16.6,20.9,5.6,6.2,7.3,5.1,5.8,6.6,NA,NA,NA,NA,NA,NA,2.4,6.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607991,51439036
C,NA,C,,NA,45,84,146,200,200,200,NA,116,NA,0,0,3,0,0,1,89,98,100,75,93,98,64,84,95,39,53,63,35,49,60,0,2,4,2,5,6,4,12,15,9,19,21,5,11,16,30,36,50,13,19,27,15,17,22,10,15,22,1,2,4,0,0.25,0.5,NA,NA,NA,1.5,1.6,1.7,NA,NA,NA,1.56,1.66,1.72,2.64,4.23,9.17,42.34,0.11,0.18,0.22,NA,NA,NA,17.8,24.6,29.3,5.2,9.5,14.6,27,36,41,0.6,1.2,2.3,19,25,33,4,8,14,0,1,6,0.37,0.37,12,15,20,0,0,0,0,0,0,0,0,2,6.9,10.7,14.7,NA,NA,NA,45.6,49.4,53.7,7.9,8,8.4,7.4,7.5,7.8,NA,NA,NA,NA,NA,NA,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17607991,51439037
