ApsimVersion = 7.9 r4044
Title = Maize
           Date  transpiration          drain             es            esw          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)
   (dd/mm/yyyy)           (mm)           (mm)           (mm)           (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)
     01/01/2011         -0.000          0.000          0.117        208.563          0.304          0.305          0.292          0.292          0.289          0.289
     02/01/2011         -0.000          0.000          0.046        208.517          0.304          0.305          0.292          0.292          0.289          0.289
     03/01/2011         -0.000          0.000          0.236        208.281          0.303          0.305          0.292          0.292          0.289          0.289
     04/01/2011         -0.000          0.000          0.217        208.063          0.302          0.305          0.292          0.292          0.289          0.289
     05/01/2011         -0.000          0.000          0.213        207.850          0.301          0.305          0.292          0.292          0.289          0.289
     06/01/2011         -0.000          0.000          0.292        207.558          0.300          0.305          0.292          0.292          0.289          0.289
     07/01/2011         -0.000          0.000          0.117        208.441          0.304          0.305          0.292          0.292          0.289          0.289
     08/01/2011         -0.000          0.000          0.077        208.364          0.304          0.305          0.292          0.292          0.289          0.289
     09/01/2011         -0.000          0.000          0.038        208.326          0.303          0.305          0.292          0.292          0.289          0.289
     10/01/2011         -0.000          0.012          0.052        211.261          0.311          0.308          0.293          0.293          0.289          0.289
     11/01/2011         -0.000          0.067          0.056        216.139          0.321          0.314          0.296          0.294          0.290          0.289
     12/01/2011         -0.000          0.172          0.050        215.916          0.314          0.314          0.298          0.296          0.291          0.290
     13/01/2011         -0.000          0.311          0.028        215.577          0.310          0.312          0.299          0.297          0.292          0.291
     14/01/2011         -0.000          0.453          0.057        215.067          0.307          0.310          0.298          0.297          0.293          0.292
     15/01/2011         -0.000          0.572          0.052        214.443          0.306          0.308          0.297          0.297          0.293          0.292
     16/01/2011         -0.000          0.651          0.036        213.756          0.305          0.307          0.296          0.297          0.293          0.293
     17/01/2011         -0.000          0.699          0.124        215.933          0.312          0.310          0.296          0.296          0.293          0.293
     18/01/2011         -0.000          0.731          0.237        215.965          0.311          0.311          0.297          0.296          0.293          0.293
     19/01/2011         -0.000          0.763          0.016        217.187          0.313          0.312          0.297          0.297          0.294          0.293
