ApsimVersion = 7.9 r4044
Title = Millet
           Date paddock.millet.stage paddock.millet1.stage paddock.millet2.stage paddock.millet3.stage paddock.millet4.stage paddock.millet5.stage paddock.millet.plant_status paddock.millet1.plant_status paddock.millet2.plant_status paddock.millet3.plant_status paddock.millet4.plant_status paddock.millet5.plant_status millet_biomass   millet_yield     millet_lai paddock.millet.biomass paddock.millet1.biomass paddock.millet2.biomass paddock.millet3.biomass paddock.millet4.biomass paddock.millet5.biomass paddock.millet.yield paddock.millet1.yield paddock.millet2.yield paddock.millet3.yield paddock.millet4.yield paddock.millet5.yield paddock.millet.lai paddock.millet1.lai paddock.millet2.lai paddock.millet3.lai paddock.millet4.lai paddock.millet5.lai
   (dd/mm/yyyy)                   ()                    ()                    ()                    ()                    ()                    ()                          ()                           ()                           ()                           ()                           ()                           ()             ()             ()             ()                (kg/ha)                 (kg/ha)                 (kg/ha)                 (kg/ha)                 (kg/ha)                 (kg/ha)              (kg/ha)               (kg/ha)               (kg/ha)               (kg/ha)               (kg/ha)               (kg/ha)          (m^2/m^2)           (m^2/m^2)           (m^2/m^2)           (m^2/m^2)           (m^2/m^2)           (m^2/m^2)
     01/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     02/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     03/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     04/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     05/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     06/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     07/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     08/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     09/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     10/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     11/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     12/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     13/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     14/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     15/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     16/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     17/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
     18/01/2015               12.000                12.000                12.000                12.000                12.000                12.000                         out                          out                          out                          out                          out                          out          0.000          0.000          0.000                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                  0.0                   0.0                   0.0                   0.0                   0.0                   0.0              0.000               0.000               0.000               0.000               0.000               0.000
